year,event
1978,Signed contract with Warner Brothers -1978
1979, 
1980, 
1981, 
1982, 
1983, 
1984, 
1985, 
1986, 
1987, 
1988,WB imposes limits -1988
1989, 
1990,Quote: I need to stop acting like such an angry soul - 1990
1991, 
1992, 
1993,WB public feud - 1993
1994,Slave written on face. Name change - 1994
1995,Released from WB contract - 1995
1996,Marries. Loss of newborn son - 1996
1997,Miscarriage of second child - 1997
1998,Predicts Osama bin Laden would attack US -1998
1999, 
2000,Divorce. Name back to Prince - 2000
2001,Formally changes religion - 2001
2002, 
2003, 
2004,Renewed focus on freedom - 2004
2005, 
2006, 
2007,21 concerts in London - 2007
2008, 
2009, 
2010, 
2011, 
2012, 
2013, 
2014, 
2015, 
