"","words","sentiments"
"1","सिरिरि",""
"2","हावा",""
"3","बग्यो",""
"4","सुस्तरी",""
"5","एकान्त",""
"6","दुनियामा",""
"7","मलाई",""
"8","फेरि",""
"9","उडाई",""
"10","लग्यो",""
"11","उडी",""
"12","रहेको",""
"13","भुवा",""
"14","जस्तै",""
"15","अनन्त",""
"16","आकाशमा",""
"17","बगाइ",""
"18","जाँदै",""
"19","छु",""
"20","कता",""
"21","तिर",""
"22","बगेछु",""
"23","आकाश",""
"24","निर",""
"25","आउने",""
"26","दिनहरु",""
"27","कसलाई",""
"28","के",""
"29","था",""
"30","म",""
"31","त",""
"32","अहिलेकोलागि",""
"33","नै",""
"34","बाँचिरहे",""
"35","सपनीलाई",""
"36","खोज्दा",""
"37","खोज्दै",""
"38","आफुलाई",""
"39","भुलेछु",""
"40","आहो.आहै",""
"41","आहाहा",""
"42","आहाहा.हा.है",""
"43","सिरिरिरि",""
"44","जिरिरि",""
"45","जिरिरिरिरिरि",""
"46","हेय",""
"47","गाऊढली",""
"48","चरी",""
"49","मेरो",""
"50","मन",""
"51","कि",""
"52","पारी",""
"53","आज",""
"54","भगेछ",""
"55","हम्म्म",""
"56","वोरी",""
"57","को",""
"58","हरयाली",""
"59","हेरा",""
"60","माझेस",""
"61","सलल",""
"62","बगी",""
"63","रहने",""
"64","कलल",""
"65","खेली",""
"66","यो",""
"67","तीस्त",""
"68","खोला",""
"69","बगेको",""
"70","देखिन",""
"71","दाहिना",""
"72","आयू",""
"73","कस्तो",""
"74","बेला",""
"75","अल्लारे",""
"76","जोवन",""
"77","दिन्ने",""
"78","हे",""
"79","पौनु",""
"80","तह",""
"81","यहा",""
"82","धेरै",""
"83","लौनु",""
"84","माया",""
"85","न",""
"86","पौने",""
"87","दुई",""
"88","दिन",""
"89","जिन्दगी",""
"90","कति",""
"91","पिरौने",""
"92","लिन्ने",""
"93","थोरै",""
"94","कसरी",""
"95","पुग्ने",""
"96","लागेर",""
"97","जानु",""
"98","कहिनै",""
"99","छैन",""
"100","साथी",""
"101","थुपार्ने",""
"102","सीतल",""
"103","मनै",""
"104","रहर",""
"105","औने",""
"106","दिन्न",""
"107","हरु",""
"108","होला",""
"109","थाहै",""
"110","मनमा",""
"111","कस्ता",""
"112","कुरा",""
"113","रहन्छ",""
"114","अस्तित्व",""
"115","खोजी",""
"116","रहे",""
"117","आजा",""
"118","सम",""
"119","पाई",""
"120","मै",""
"121","रयो",""
"122","कसैलाई",""
"123","मो",""
"124","भनुँ",""
"125","साँझेको",""
"126","पाएको",""
"127","सोडउम",""
"128","चारै",""
"129","चललल",""
"130","कंगचेन्जुंगा",""
"131","हिमालले",""
"132","ढकयो",""
"133","संसार",""
"134","पहरामा",""
"135","पनि",""
"136","शान्ति",""
"137","जौ",""
"138","हैनकि",""
"139","तल",""
"140","फर्की",""
"141","नआउने",""
"142","पल",""
"143","आ.है",""
"144","पाउने",""
"145","यहाँ",""
"146","नपाउने",""
"147","पिरती",""
"148","ऋतुहरु",""
"149","बदलिएछ",""
"150","समय",""
"151","तर",""
"152","कहिले",""
"153","बदलिनु",""
"154","छातीको",""
"155","पिरलाई",""
"156","छोडिदेउ",""
"157","मनको",""
"158","ढोकालाई",""
"159","खोलिदेउ",""
"160","खुशीले",""
"161","नाचौ",""
"162","है",""
"163","हामी",""
"164","सारा",""
"165","जन्मका",""
"166","जुन",""
"167","तारो",""
"168","युगहरु",""
"169","ढलेछ",""
"170","यौवन",""
"171","ढल्दैन",""
"172","आजसम्म",""
"173","आउदछ",""
"174","तिम्रैनै",""
"175","यादहरु",""
"176","यौवनको",""
"177","बगेछ",""
"178","रगतहरु",""
"179","लाग्छ",""
"180","जिन्दगीमा",""
"181","केहि",""
"182","अधुरो",""
"183","हेर्दा",""
"184","हेर्दै",""
"185","बितिसकेछ",""
"186","जीवन",""
"187","हो",""
"188","जिउने",""
"189","खोलेर",""
"190","मरेपछि",""
"191","लानु",""
"192","छ",""
"193","बोकेर",""
"194","रात",""
"195","तिम्रै",""
"196","समझना",""
"197","मायालु",""
"198","लाई",""
"199","सम्झी",""
"200","मत",""
"201","गरिरहेछु",""
"202","कल्पना",""
"203","एती",""
"204","खेर",""
"205","भई",""
"206","सक्यो",""
"207","नूउने",""
"208","ढाली",""
"209","आजो",""
"210","पर्खौने",""
"211","लाहाइन",""
"212","जालमा",""
"213","फ्शहयो",""
"214","नि",""
"215","हैन",""
"216","योवान",""
"217","ढली",""
"218","आहाहाअ",""
"219","हाआ",""
"220","लैजौना",""
"221","तिमी",""
"222","सँगैइनै",""
"223","सहरमा",""
"224","मोटर",""
"225","छरेर",""
"226","जाने",""
"227","सँगै",""
"228","अहहहाहहा",""
"229","अहहहाआअ",""
"230","आकास",""
"231","भरि",""
"232","नौंलाखे",""
"233","तारा",""
"234","झलल",""
"235","बलिरहे",""
"236","छौ",""
"237","टाढा",""
"238","सुनसान",""
"239","चारैतिर",""
"240","त्यो",""
"241","गाँउमा",""
"242","बिजुली",""
"243","बत्ति",""
"244","जलेछ",""
"245","झ",""
"246","ल",""
"247","चल्यो",""
"248","सरर",""
"249","हल्लाईदियो",""
"250","पिपल",""
"251","रुख",""
"252","रातकी",""
"253","रानी",""
"254","उलेछ",""
"255","मगमगे",""
"256","बासना",""
"257","छरिएछ",""
"258","जहाँ",""
"259","जिवन",""
"260","यसै",""
"261","बित्ने",""
"262","भेट",""
"263","भयो",""
"264","सिन्डिकेट्को",""
"265","माझ",""
"266","उभिएछु",""
"267","तिम्रो",""
"268","बगल",""
"269","मा",""
